Representante, Frase Similar
'alcance', 'alcance'
'realizar seguimiento', 'realizar seguimiento'
'controles', 'controles'
'puestos similares', 'puestos similares'
'puestos similares', 'posiciones similares'
'puestos similares', 'años puestos similares'
'puestos similares', 'cargos similares'
'código', 'código'
'pmi', 'pmi'
'pmi', 'pmbok'
'mediante', 'mediante'
'identificación', 'identificación'
'reuniones', 'reuniones'
'dos', 'dos'
'dos', 'dos 02'
'dos', 'dos 02 años'
'desarrollo implementación', 'desarrollo implementación'
'desarrollos', 'desarrollos'
'existentes', 'existentes'
'global', 'global'
'seguros', 'seguros'
'sistemas experiencia', 'sistemas experiencia'
'sistemas experiencia', 'analista sistemas experiencia'
'studio', 'studio'
'studio', 'visual studio 2010'
'studio', 'studio 2010'
'prueba', 'prueba'
'pre', 'pre'
'mejora continua', 'mejora continua'
'mejora continua', 'mejora continua procesos'
'distintas', 'distintas'
'posición', 'posición'
'responsabilidad', 'responsabilidad'
'procesos negocio', 'procesos negocio'
'actualizar', 'actualizar'
'supervisión', 'supervisión'
'cursos', 'cursos'
'computación', 'computación'
'iso', 'iso'
'iso', 'iso 9001'
'iso', 'norma iso'
'inglés intermedio', 'inglés intermedio'
'inglés intermedio', 'inglés avanzado'
'inglés intermedio', 'ingles intermedio'
'inglés intermedio', 'intermedio inglés'
'inglés intermedio', 'dominio inglés'
'inglés intermedio', 'inglés intermedio avanzado'
'inglés intermedio', 'avanzado inglés'
'inglés intermedio', 'inglés básico'
'entrega', 'entrega'
'principales', 'principales'
'entorno', 'entorno'
'especialización', 'especialización'
'asp', 'asp'
'asp', 'asp net mvc'
'idioma inglés', 'idioma inglés'
'idioma inglés', 'dominio idioma inglés'
'idioma inglés', 'conocimiento idioma inglés'
'idioma inglés', 'idioma ingles'
'modelo', 'modelo'
'estrategias', 'estrategias'
'macros', 'macros'
'lunes', 'lunes'
'lunes', 'lunes viernes'
'lunes', 'horario lunes viernes'
'años analista', 'años analista'
'años analista', 'año analista'
'años analista', 'años analista funcional'
'riesgo', 'riesgo'
'mvc', 'mvc'
'mvc', 'framework'
'mvc', 'struts'
'mvc', 'jsf'
'mvc', 'spring mvc'
'mvc', 'entity framework'
'bi', 'bi'
'desarrollo proyectos', 'desarrollo proyectos'
'desarrollo proyectos', 'proyectos desarrollo'
'análisis requerimientos', 'análisis requerimientos'
'análisis requerimientos', 'requerimientos análisis'
'realización', 'realización'
'tecnología información', 'tecnología información'
'presupuesto', 'presupuesto'
'analista sistemas', 'analista sistemas'
'analista sistemas', 'sistemas analista'
'proyectos implementación', 'proyectos implementación'
'proyectos implementación', 'implementación proyectos'
'proyectos implementación', 'proyectos implementación sistemas'
'soporte técnico', 'soporte técnico'
'menor', 'menor'
'scrum', 'scrum'
'financiero', 'financiero'
'unitarias', 'unitarias'
'operativo', 'operativo'
'servidor', 'servidor'
'objetos', 'objetos'
'orientación', 'orientación'
'ofrece', 'ofrece'
'liderar', 'liderar'
'pruebas unitarias', 'pruebas unitarias'
'pruebas unitarias', 'pruebas unitarias integrales'
'02', '02'
'realizar análisis', 'realizar análisis'
'presentación', 'presentación'
'resolución', 'resolución'
'permitan', 'permitan'
'diversos', 'diversos'
'planeamiento', 'planeamiento'
'egresado', 'egresado'
'encontramos', 'encontramos'
'manager', 'manager'
'manager', 'account manager'
'spring', 'spring'
'preparar', 'preparar'
'básicos', 'básicos'
'finales', 'finales'
'sistemas informática', 'sistemas informática'
'sistemas informática', 'informática sistemas'
'horas', 'horas'
'vida', 'vida'
'cartera', 'cartera'
'marketing', 'marketing'
'viernes', 'viernes'
'viernes', 'viernes 00am'
'viernes', 'lunes viernes 00am'
'viernes', 'viernes 00am 00pm'
'avances', 'avances'
'programación java', 'programación java'
'programación java', 'programación net'
'programación java', 'lenguaje programación java'
'programación java', 'programación php'
'programación java', 'programación java net'
'externos', 'externos'
